UUID,Trial #,Chart Type,Actual,Reported,Log Base 2 Error
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,30,Scattered Circle Chart,29,55,4.707359132
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,56,Scattered Circle Chart,32,55,4.531381461
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,15,Scattered Circle Chart,43,55,3.599912842
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,24,Scattered Circle Chart,50,55,2.357552005
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,8,Scattered Circle Chart,56,22,5.092757141
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,43,Scattered Circle Chart,62,55,2.832890014
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,40,Scattered Circle Chart,66,55,3.475733431
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,38,Scattered Circle Chart,72,55,4.098032083
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,33,Scattered Circle Chart,73,55,4.17990909
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,13,Scattered Circle Chart,79,77,1.087462841
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,35,Scattered Circle Chart,80,55,4.651051691
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,10,Scattered Circle Chart,82,77,2.357552005
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,50,Scattered Circle Chart,82,55,4.761551232
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,23,Scattered Circle Chart,83,55,4.813781191
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,20,Scattered Circle Chart,93,55,5.252665432
cc8164d9-e381-232c-637f-843f28716af0,2,Scattered Circle Chart,20,25,2.357552005
cc8164d9-e381-232c-637f-843f28716af0,10,Scattered Circle Chart,97,95,1.087462841
cc8164d9-e381-232c-637f-843f28716af0,13,Scattered Circle Chart,47,45,1.087462841
cc8164d9-e381-232c-637f-843f28716af0,14,Scattered Circle Chart,60,50,3.339850003
cc8164d9-e381-232c-637f-843f28716af0,16,Scattered Circle Chart,55,40,3.918863237
cc8164d9-e381-232c-637f-843f28716af0,20,Scattered Circle Chart,30,33,1.64385619
cc8164d9-e381-232c-637f-843f28716af0,21,Scattered Circle Chart,8,1,2.832890014
cc8164d9-e381-232c-637f-843f28716af0,24,Scattered Circle Chart,17,20,1.64385619
cc8164d9-e381-232c-637f-843f28716af0,30,Scattered Circle Chart,59,45,3.820178962
cc8164d9-e381-232c-637f-843f28716af0,33,Scattered Circle Chart,80,70,3.339850003
cc8164d9-e381-232c-637f-843f28716af0,34,Scattered Circle Chart,77,40,5.214319121
cc8164d9-e381-232c-637f-843f28716af0,35,Scattered Circle Chart,75,60,3.918863237
cc8164d9-e381-232c-637f-843f28716af0,36,Scattered Circle Chart,85,90,2.357552005
cc8164d9-e381-232c-637f-843f28716af0,38,Scattered Circle Chart,23,15,3.022367813
cc8164d9-e381-232c-637f-843f28716af0,41,Scattered Circle Chart,65,65,-3
cc8164d9-e381-232c-637f-843f28716af0,42,Scattered Circle Chart,29,35,2.614709844
cc8164d9-e381-232c-637f-843f28716af0,45,Scattered Circle Chart,17,20,1.64385619
